author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Yang,Song,Department of Chemistry and Biochemistry,Howard G.,Mayes,Department of Chemistry and Biochemistry,Matthew J.,Queensen,Department of Chemistry and Biochemistry,Eike B.,Bauer,Department of Chemistry and Biochemistry,Cynthia M.,Dupureur,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph W.,Meisel,University of Missouri-St. Louis,Mohit B.,Patel,University of Missouri-St. Louis,George W.,Gokel,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judith A.,Cochran,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William,Acree,University of North Texas,James S.,Chickos,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James V.,Shuls,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seungahn,Nah,University of Kentucky,Kang,Namkoong,University of Kentucky,Rachael,Record,San Diego State University,Stephanie K.,Van Stee,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayanna F.,Brown,Elmhurst College,David,Bloome,The Ohio State University,Jerome E.,Morris,University of Missouri-St. Louis,Stephanie,Power-Carter,Indiana University Bloomington,Arlette I.,Willis,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott E.,Casper,"University of Maryland, Baltimore County (UMBC)",Laura M.,Westhoff,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeanne Morgan,Zarucchi,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy,Vatterott,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyce Marie,Mushaben,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurie M.,Baker,University of Missouri-St. Louis,Sarah A.,Cooley,Washington University in St. Louis,Ryan P.,Cabeen,Keck School of Medicine of USC,David H.,Laidlaw,Brown University,John A.,Joska,University of Cape Town,Jacqueline,Hoare,University of Cape Town,Dan J.,Stein,University of Cape Town,Jodi M.,Heaps-Woodruff,Missouri Institute of Mental Health,Lauren E.,Salminen,Keck School of Medicine of USC,Robert H.,Paul,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David F.,Tate,Missouri Institute of Mental Health,Maria,Gusman,Brooke Army Medical Center,Jonathan,Kini,Austin Radiological Association,Matthew,Reid,Brooke Army Medical Center,Carmen S.,Velez,Missouri Institute of Mental Health,Ann Marie,Drennon,Brooke Army Medical Center,Douglas B.,Cooper,Brooke Army Medical Center,Jan E.,Kennedy,Brooke Army Medical Center,Amy O.,Bowles,Brooke Army Medical Center,Erin D.,Bigler,Brigham Young University,Jeffrey D.,Lewis,Uniformed Services University of the Health Sciences,John,Ritter,Austin Radiological Association,Gerald E.,York,TBI Imaging and Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David K.,Larson,University of Illinois Springfield,Keith W.,Miller,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack C.,Harms,Department of Chemistry and Biochemistry,Ethan M.,Grames,Department of Chemistry and Biochemistry,Shu,Han,Department of Chemistry and Biochemistry,Leah C.,O'Brien,Southern Illinois University Edwardsville,James J.,O'Brien,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Ann,Slocum,University of Missouri-St. Louis,Finn Aage,Esbensen,University of Missouri-St. Louis,Terrance J.,Taylor,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingfu,Liu,Fudan University,Yiuman,Tse,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiajia,Li,University of Missouri-St. Louis,Erin E.,Terry,University of Missouri-St. Louis,Edith,Fejer,University of Missouri-St. Louis,Diana,Gamba,University of Missouri-St. Louis,Natalie,Hartmann,University of Missouri-St. Louis,Joseph,Logsdon,University of Missouri-St. Louis,Daniel,Michalski,University of Missouri-St. Louis,Lisa E.,Rois,University of Missouri-St. Louis,Maria J.,Scuderi,University of Missouri-St. Louis,Michael,Kunst,Max-Planck-Institut für Neurobiologie,Michael E.,Hughes,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura B.,Catano,Florida International University,Mark B.,Barton,Florida International University,Kevin M.,Boswell,Florida International University,Deron E.,Burkepile,Florida International University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,Antonides,Purdue University,Robert,Ricklefs,University of Missouri-St. Louis,J. Andrew,DeWoody,Purdue University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ericka,Sanner-Stiehr,University of Missouri-St. Louis,Peggy,Ward-Smith,University of Missouri-Kansas City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith S.,Summerville,Drake University,Robert J.,Marquis,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Santamaría-Aguilar,Missouri Botanical Garden,Laura P.,Lagomarsino,Missouri Botanical Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huei Wern,Shen,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney C.,Farmer,University of Missouri-St. Louis,Karen S.,Mitchell,VA Boston Healthcare System,Kelly,Parker-Guilbert,VA Boston Healthcare System,Tara E.,Galovski,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gualtiero,Piccinini,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.,Paganini,NASA Goddard Space Flight Center,M. J.,Mumma,NASA Goddard Space Flight Center,E. L.,Gibb,University of Missouri-St. Louis,G. L.,Villanueva,NASA Goddard Space Flight Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott J.,Hasty,Department of Chemistry and Biochemistry,Mithila D.,Bandara,Department of Chemistry and Biochemistry,Nigam P.,Rath,Department of Chemistry and Biochemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philp J.,Ferko,Department of Chemistry and Biochemistry,Jeffrey R.,Withers,Department of Chemistry and Biochemistry,Hung,Nguyen,Department of Chemistry and Biochemistry,Charles,Allison,Department of Chemistry and Biochemistry,Joshua,Ema,Lutheran High School South,Tim,Ema,McCluer Senior High School,Nigam P.,Rath,Department of Chemistry and Biochemistry,Yuan Zhu,Zhang,Department of Chemistry and Biochemistry,Stephen M.,Holmes,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob L.,Scharer,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seonah,Lee,University of Missouri-St. Louis,Trish,Huebner,Crossroads Hospice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vetta L.Sanders,Thompson,"Washington University in St. Louis, George Warren Brown School of Social Work",Sheretta T.,Butler-Barnes,"Washington University in St. Louis, George Warren Brown School of Social Work",Brittni D.,Jones,"Washington University in St. Louis, George Warren Brown School of Social Work",Anjanette A.,Wells,"Washington University in St. Louis, George Warren Brown School of Social Work",Renee M.,Cunningham-Williams,"Washington University in St. Louis, George Warren Brown School of Social Work",Sha Lai,Williams,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David A.,Klinger,University of Missouri-St. Louis,Lee Ann,Slocum,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliot T.,Miller,University of Missouri-St. Louis,Sarah K.,Wagner,Cornell Lab of Ornithology,Luke J.,Harmon,University of Idaho,Robert E.,Ricklefs,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxanne,Vandermause,University of Missouri-St. Louis,Frances K.,Barg,University of Pennsylvania,Laura,Esmail,AcademyHealth,Lauren,Edmundson,AcademyHealth,Samantha,Girard,Washington State University Pullman,A. Ross,Perfetti,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon,Uribe-Convers,"University of Missouri-St. Louis, Department of Biology",Monica M.,Carlsen,"University of Missouri-St. Louis, Department of Biology",Laura P.,Lagomarsino,"University of Missouri-St. Louis, Department of Biology",Nathan,Muchhala,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyan,Cai,"University of Missouri-St. Louis, Department of Mathematics and Computer Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel,Arellano,Smithsonian Tropical Research Institute,María N.,Umaña,"University of Maryland, College Park",Manuel J.,Macía,Universidad Autónoma de Madrid,M. Isabel,Loza,University of Missouri-St. Louis,Alfredo,Fuentes,Herbario Nacional de Bolivia,Victoria,Cala,Universidad Autónoma de Madrid,Peter M.,Jørgensen,Missouri Botanical Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan,Schröder,College of Agricultural and Environmental Sciences Athens Campus,Bochra A.,Bahri,College of Agricultural and Environmental Sciences Athens Campus,Douglas M.,Eudy,College of Agricultural and Environmental Sciences Athens Campus,Daniel J.,Layton,University of Missouri-St. Louis,Elizabeth A.,Kellogg,University of Missouri-St. Louis,Katrien M.,Devos,College of Agricultural and Environmental Sciences Athens Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deyao,Jiang,Zhejiang Normal University,Weikang,Chen,Zhejiang Normal University,Yusong,Zhang,Zhejiang Normal University,Sheng,Li,Zhejiang Normal University,Thomas F.,George,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qi,Luo,China Pharmaceutical University,Qiaomei,Jin,Nanjing University of Traditional Chinese Medicine,Chang,Su,China Pharmaceutical University,Dongjian,Zhang,Nanjing University of Traditional Chinese Medicine,Cuihua,Jiang,Nanjing University of Traditional Chinese Medicine,Anne Folta,Fish,University of Missouri-St. Louis,Yuanbo,Feng,Nanjing University of Traditional Chinese Medicine,Yicheng,Ni,Nanjing University of Traditional Chinese Medicine,Jian,Zhang,Nanjing University of Traditional Chinese Medicine,Zhiqi,Yin,China Pharmaceutical University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael B.,Watson,Washington University in St. Louis,Nigam P.,Rath,Department of Chemistry and Biochemistry,Liviu M.,Mirica,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip J.,Ferko,Department of Chemistry and Biochemistry,Jeffrey R.,Withers,Department of Chemistry and Biochemistry,Hung,Nguyen,Department of Chemistry and Biochemistry,Joshua,Ema,Department of Chemistry and Biochemistry,Tim,Ema,Department of Chemistry and Biochemistry,Charles,Allison,Department of Chemistry and Biochemistry,Christian,Dornhoefer,Pattonville High School,Nigam P.,Rath,Department of Chemistry and Biochemistry,Stephen M.,Holmes,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kang,Namkoong,University of Kentucky,Seungahn,Nah,University of Kentucky,Rachael A.,Record,San Diego State University,Stephanie K.,Van Stee,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R.,Hipp,"University of California, Irvine",Adam,Boessen,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Kroovand,Hipple,Maurer School of Law,Edmund F.,McGarrell,Michigan State University,Mallory,O’Brien,Medical College of Wisconsin,Beth M.,Huebner,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah,Ackermann,ZIS International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana,Gamba,University of Missouri-St. Louis,N. Rossana,Maguiña,University of Missouri-St. Louis,Camilo A.,Calderón-Acevedo,University of Missouri-St. Louis,Karina,Torres,Pontificia Universidad Catolica del Ecuador,Nathan C.,Muchhala,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy F.,Strain,Washington University in St. Louis,Tricia H.,Burdo,Temple University,Sheng Kwei,Song,Washington University in St. Louis,Peng,Sun,Washington University in St. Louis,Omar,El-Ghazzawy,Washington University in St. Louis,Brittany,Nelson,Washington University in St. Louis,Elizabeth,Westerhaus,Washington University in St. Louis,Laurie,Baker,University of Missouri-St. Louis,Florin,Vaida,Department of Family Medicine,Beau M.,Ances,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian,Clingher,"University of Missouri-St. Louis, Department of Mathematics and Computer Science",Charles F.,Doran,University of Alberta,Andreas,Malmendier,Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce C.,Hamper,Department of Chemistry and Biochemistry,Kerstin,Zawatzky,"Merck & Co., Inc.",Vivian,Zhang,"Merck & Co., Inc.",Christopher J.,Welch,"Merck & Co., Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beibei,Liu,Georgia State University,Shuo,Wang,Georgia State University,Karl,Aston,Department of Chemistry and Biochemistry,Kevin J.,Koeller,Department of Chemistry and Biochemistry,Shahrzad Fanny Hakami,Kermani,Department of Chemistry and Biochemistry,Carlos H.,Castañeda,Department of Chemistry and Biochemistry,M.,José Scuderi,Department of Chemistry and Biochemistry,Rensheng,Luo,Department of Chemistry and Biochemistry,James K.,Bashkin,Department of Chemistry and Biochemistry,W.,David Wilson,Georgia State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manoj,Trivedi,University of Delhi,Jacob R.,Smreker,Department of Chemistry and Biochemistry,Gurmeet,Singh,University of Delhi,Abhinav,Kumar,University of Lucknow,Nigam P.,Rath,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George T.,Taylor,Universität Heidelberg,Sandra,Lerch,Universität Heidelberg,Sabine,Chourbaji,Universität Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kailash,Joshi,University of Missouri-St. Louis,Kyootai,Lee,Sogang University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetsuya,Usui,Nihon University,Masaaki,Kotabe,Fox School of Business,Janet Y.,Murray,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyomoare L.,Osazuwa-Peters,University of Missouri-St. Louis,S. Joseph,Wright,Smithsonian Tropical Research Institute,Amy E.,Zanne,The George Washington University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan M.,Rabus,Department of Chemistry and Biochemistry,Maha T.,Abutokaikah,Department of Chemistry and Biochemistry,Reginald T.,Ross,Department of Chemistry and Biochemistry,Benjamin J.,Bythell,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carissa R.,Nelson,Department of Chemistry and Biochemistry,James S.,Chickos,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim,Polarine,University of Illinois Urbana-Champaign,Beth,Kroeger,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,Ju,University of Missouri-St. Louis,Gerald Yong,Gao,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemat,Abazari,University of Mohaghegh Ardabili,Martin,Bohner,Missouri University of Science and Technology,Ilgin,Sağer,"University of Missouri-St. Louis, Department of Mathematics and Computer Science",Yusuf,Yayli,Ankara Üniversitesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed,Mohammed,Department of Chemistry and Biochemistry,Jennifer,Sneathen,Department of Chemistry and Biochemistry,Sara Glazier,Frojen,"Lewis & Clark College, Portland",Louis,Kuo,"Lewis & Clark College, Portland",Cynthia M.,Dupureur,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin,Dong,Peking University,Qingtang,Jiang,"University of Missouri-St. Louis, Department of Mathematics and Computer Science",Zuowei,Shen,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Pat,Couig,VA Medical Center,Alicia,Gable,VA Medical Center,Anne,Griffin,VA Medical Center,Joanne C.,Langan,St. Louis University,Judith R.,Katzburg,VA Medical Center,Kelly A.,Wolgast,Pennsylvania State University,Kristine,Qureshi,University of Hawaiʻi at Mānoa,Aram,Dobalian,VA Medical Center,Roberta Proffitt,Lavin,University of Missouri-St. Louis,Tener Goodwin,Veenema,Johns Hopkins School of Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberta,Lavin,University of Missouri-St. Louis,Tener Goodwin,Veenema,Johns Hopkins University,Wilma J.,Calvert,University of Missouri-St. Louis,Sheila R.,Grigsby,University of Missouri-St. Louis,Jennifer,Cobbina,Michigan State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanne C.,Langan,St. Louis University,Roberta,Lavin,University of Missouri-St. Louis,Kelly A.,Wolgast,Pennsylvania State University,Tener Goodwin,Veenema,Johns Hopkins School of Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt,Vogel,University of Missouri-St. Louis,Lauren C.,Porter,"University of Maryland, College Park",Timothy,McCuddy,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy,Dunaway,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Simmons,Department of Chemistry and Biochemistry,James,Chickos,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Santamaría-Aguilar,Missouri Botanical Garden,Laura P.,Lagomarsino,Missouri Botanical Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karla Viridiana,Castro-Cerritos,Universidad de Guanajuato,Ronald E.,Yasbin,University of Missouri-St. Louis,Eduardo A.,Robleto,"University of Nevada, Las Vegas",Mario,Pedraza-Reyes,Universidad de Guanajuato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan A.,Vernon,University of Missouri-St. Louis,Brenda S.,Pratte,University of Missouri-St. Louis,Teresa,Thiel,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane H.,Walker,University of Missouri-St. Louis,Helene J.,Sherman,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan B.,Lin,Washington University School of Medicine in St. Louis,Blair W.,Gerratt,University of Missouri-St. Louis,Carl J.,Bassi,University of Missouri-St. Louis,Rajendra S.,Apte,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jothilingam,Sivapackiam,"Washington University School of Medicine in St. Louis, Mallinckrodt Institute of Radiology",Scott E.,Harpstrite,"Washington University School of Medicine in St. Louis, Mallinckrodt Institute of Radiology",Nigam P.,Rath,Department of Chemistry and Biochemistry,Vijay,Sharma,"Washington University School of Medicine in St. Louis, Mallinckrodt Institute of Radiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
