author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Nemat,Abazari,University of Mohaghegh Ardabili,Martin,Bohner,Missouri University of Science and Technology,Ilgin,Sağer,University of Missouri-St. Louis,Alireza,Sedaghatdoost,University of Mohaghegh Ardabili,Yusuf,Yayli,Ankara Üniversitesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael C.,Gearhart,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annah K.,Bender,University of Missouri-St. Louis,Kathleen K.,Bucholz,Washington University School of Medicine in St. Louis,Howard J.,Edenberg,Indiana University School of Medicine,John R.,Kramer,University of Iowa Carver College of Medicine,Andrey P.,Anokhin,Washington University School of Medicine in St. Louis,Jacquelyn L.,Meyers,SUNY Downstate Health Sciences University,Samuel,Kuperman,University of Iowa Carver College of Medicine,Victor,Hesselbrock,UConn Health,Michie,Hesselbrock,School of Social Work,Vivia V.,McCutcheon,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beth M.,Huebner,University of Missouri-St. Louis,Theodore S.,Lentz,University of Wisconsin-Milwaukee,Miranda,Gibson,St. Louis County Department of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyce Marie,Mushaben,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent,Denault,University of Montreal,Pierrich,Plusquellec,Centre d’études en sciences de la communication non verbale,Louise M.,Jupe,University of Portsmouth,Michel,St-Yves,Sûreté du Québec,Norah E.,Dunbar,"University of California, Santa Barbara",Maria,Hartwig,John Jay College of Criminal Justice,Siegfried L.,Sporer,Justus-Liebig-Universität Gießen,Jessica,Rioux-Turcotte,Université du Québec à Trois-Rivières,Jonathan,Jarry,Université McGill,Dave,Walsh,De Montfort University,Henry,Otgaar,KU Leuven,Andrei,Viziteu,University of Portsmouth,Victoria,Talwar,Université McGill,David A.,Keatley,Murdoch University,Iris,Blandón-Gitlin,"California State University, Fullerton",Clint,Townson,Michigan State University,Nadine,Deslauriers-Varin,Université Laval,Scott O.,Lilienfeld,Emory University,Miles L.,Patterson,University of Missouri-St. Louis,Igor,Areh,Univerza v Mariboru,Alfred,Allan,Edith Cowan University,Hilary Evans,Cameron,Osgoode Hall Law School,Rémi,Boivin,University of Montreal,Leanne,Ten Brinke,University of Denver,Jaume,Masip,Universidad de Salamanca,Ray,Bull,University of Derby,Mireille,Cyr,University of Montreal,Lorraine,Hope,University of Portsmouth,Leif A.,Strömwall,Göteborgs Universitet,Stephanie J.,Bennett,University of Portsmouth
Kathleen M.,Preble,University of Missouri,Sarah,Tlapek,University of Missouri,Erica,Koegler,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shea N.,Kerkhoff,University of Missouri-St. Louis,Megan E.,Cloud,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianwu,Li,Henan Agricultural University,Maoyin,Li,University of Missouri-St. Louis,Shuaibing,Yao,University of Missouri-St. Louis,Guangqin,Cai,University of Missouri-St. Louis,Xuemin,Wang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyman Tower,Sargent,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
